"no.","latin name","polish name","category","status"
"233","Clanga pomarina","orlik krzykliwy","A","L"
"234","Clanga clanga","orlik grubodzioby","A","l P"
"235","Aquila nipalensis","orzeł stepowy","A","Z"
"236","Aquila heliaca","orzeł cesarski","A","Z"
"237","Aquila chrysaetos","orzeł przedni","A","l P"
"238","Aquila fasciata","orzeł południowy","A","z"
"239","Hieraaetus pennatus","orzełek","A","(l) Z"
"240","Circus aeruginosus","błotniak stawowy","A","L"
"241","Circus cyaneus","błotniak zbożowy","A","l P"
"242","Circus macrourus","błotniak stepowy","A","P"
"243","Circus pygargus","błotniak łąkowy","A","L"
"244","Accipiter brevipes","krogulec krótkonogi","A","z"
"245","Accipiter nisus","krogulec","A","L"
"246","Accipiter gentilis","jastrząb","A","L"
"247","Haliaeetus leucoryphus","bielik wschodni","B","(z)"
"248","Haliaeetus albicilla","bielik","A","L"
"249","Milvus milvus","kania ruda","A","L"
"250","Milvus migrans","kania czarna","A","L"
"251","Buteo lagopus","myszołów włochaty","A","P"
"252","Buteo buteo","myszołów","A","L"
"253","Buteo rufinus","kurhannik","A","P"
"254","Tyto alba","płomykówka","A","L"
"255","Surnia ulula","sowa jarzębata","A","Z"
"256","Glaucidium passerinum","sóweczka","A","L"
"257","Athene noctua","pójdźka","A","L"
"258","Aegolius funereus","włochatka","A","L"
"259","Otus scops","syczek","A","Z"
"260","Asio otus","uszatka","A","L"
"261","Asio flammeus","uszatka błotna","A","l P"
"262","Strix aluco","puszczyk","A","L"
"263","Strix uralensis","puszczyk uralski","A","L"
"264","Strix nebulosa","puszczyk mszarny","A","l Z"
"265","Bubo scandiacus","puchacz śnieżny","A","Z"
"266","Bubo bubo","puchacz","A","L"
"267","Upupa epops","dudek","A","L"
"268","Jynx torquilla","krętogłów","A","L"
"269","Picus canus","dzięcioł zielonosiwy","A","L"
"270","Picus viridis","dzięcioł zielony","A","L"
"271","Dryocopus martius","dzięcioł czarny","A","L"
"272","Dendrocoptes medius","dzięcioł średni","A","L"
"273","Dryobates minor","dzięciołek","A","L"
"274","Dendrocopos major","dzięcioł duży","A","L"
"275","Dendrocopos syriacus","dzięcioł białoszyi","A","L"
"276","Dendrocopos leucotos","dzięcioł białogrzbiety","A","L"
"277","Picoides tridactylus","dzięcioł trójpalczasty","A","L"
"278","Merops apiaster","żołna","A","L"
"279","Coracias garrulus","kraska","A","l P"
"280","Alcedo atthis","zimorodek","A","L"
"281","Ceryle rudis","rybaczek srokaty","B","(z)"
"282","Falco naumanni","pustułeczka","A","(l) Z"
"283","Falco tinnunculus","pustułka","A","L"
"284","Falco vespertinus","kobczyk","A","(l) P"
"285","Falco columbarius","drzemlik","A","P"
"286","Falco subbuteo","kobuz","A","L"
"287","Falco eleonorae","sokół skalny","A","z"
"288","Falco cherrug","raróg","A","l Z"
"289","Falco biarmicus","raróg górski","A","z"
"290","Falco rusticolus","białozór","A","Z"
"291","Falco peregrinus","sokół wędrowny","A","l P"
"292","Vireo olivaceus","wireonek czerwonooki","A","z"
"293","Oriolus oriolus","wilga","A","L"
"294","Lanius collurio","gąsiorek","A","L"
"295","Lanius phoenicuroides","dzierzba rdzawosterna","A","z"
"296","Lanius isabellinus","dzierzba pustynna","A","z"
"297","Lanius minor","dzierzba czarnoczelna","A","l Z"
"298","Lanius borealis","srokosz północny","A","z"
"299","Lanius excubitor","srokosz","A","L"
"300","Lanius senator","dzierzba rudogłowa","A","(l) Z"
"301","Pyrrhocorax graculus","wieszczek","A","(l) z"
"302","Perisoreus infaustus","sójka syberyjska","A","z"
"303","Garrulus glandarius","sójka","A","L"
"304","Pica pica","sroka","A","L"
"305","Nucifraga caryocatactes","orzechówka","A","L"
"306","Coloeus monedula","kawka","A","L"
"307","Corvus frugilegus","gawron","A","L"
"308","Corvus corax","kruk","A","L"
"309","Corvus corone","czarnowron","A","l P"
"310","Corvus cornix","wrona siwa","A","L"
"311","Periparus ater","sosnówka","A","L"
"312","Lophophanes cristatus","czubatka","A","L"
"313","Poecile palustris","sikora uboga","A","L"
"314","Poecile montanus","czarnogłówka","A","L"
"315","Cyanistes caeruleus","modraszka","A","L"
"316","Cyanistes cyanus","sikora lazurowa","A","Z"
"317","Parus major","bogatka","A","L"
"318","Remiz pendulinus","remiz","A","L"
"319","Lullula arborea","lerka","A","L"
"320","Alauda leucoptera","skowronek białoskrzydły","A","z"
"321","Alauda arvensis","skowronek","A","L"
"322","Galerida cristata","dzierlatka","A","L"
"323","Eremophila alpestris","górniczek","A","P"
"324","Calandrella brachydactyla","skowrończyk krótkopalcowy","A","Z"
"325","Melanocorypha bimaculata","kalandra dwuplamista","A","z"
"326","Melanocorypha calandra","kalandra szara","A","z"
"327","Melanocorypha yeltoniensis","kalandra czarna","A","z"
"328","Alaudala rufescens","skowrończyk mały","A","z"
"329","Panurus biarmicus","wąsatka","A","L"
"330","Helopsaltes certhiola","świerszczak melodyjny","A","z"
"331","Locustella luscinioides","brzęczka","A","L"
"332","Locustella fluviatilis","strumieniówka","A","L"
"333","Locustella naevia","świerszczak","A","L"
"334","Iduna caligata","zaganiacz mały","A","Z"
"335","Iduna pallida","zaganiacz blady","A","z"
"336","Hippolais polyglotta","zaganiacz szczebiotliwy","A","z"
"337","Hippolais icterina","zaganiacz","A","L"
"338","Acrocephalus paludicola","wodniczka","A","L"
"339","Acrocephalus melanopogon","tamaryszka","A","z"
"340","Acrocephalus schoenobaenus","rokitniczka","A","L"
"341","Acrocephalus dumetorum","zaroślówka","A","l P"
"342","Acrocephalus palustris","łozówka","A","L"
"343","Acrocephalus scirpaceus","trzcinniczek","A","L"
"344","Acrocephalus agricola","trzcinniczek kaspijski","A","Z"
"345","Acrocephalus arundinaceus","trzciniak","A","L"
"346","Delichon urbicum","oknówka","A","L"
"347","Cecropis daurica","jaskółka rudawa","A","Z"
"348","Hirundo rustica","dymówka","A","L"
"349","Riparia riparia","brzegówka","A","L"
"350","Phylloscopus bonelli","świstunka górska","A","(l) Z"
"351","Phylloscopus sibilatrix","świstunka leśna","A","L"
"352","Phylloscopus inornatus","świstunka żółtawa","A","P"
"353","Phylloscopus humei","świstunka ałtajska","A","Z"
"354","Phylloscopus proregulus","świstunka złotawa","A","Z"
"355","Phylloscopus fuscatus","świstunka brunatna","A","Z"
"356","Phylloscopus trochilus","piecuszek","A","L"
"357","Phylloscopus ibericus","świstunka iberyjska","A","l z"
"358","Phylloscopus collybita","pierwiosnek","A","L"
"359","Phylloscopus schwarzi","świstunka grubodzioba","A","Z"
"360","Phylloscopus trochiloides","wójcik","A","l P"
"361","Phylloscopus borealis","świstunka północna","A","z"
"362","Aegithalos caudatus","raniuszek","A","L"
"363","Sylvia atricapilla","kapturka","A","L"
"364","Sylvia borin","gajówka","A","L"
"365","Curruca nisoria","jarzębatka","A","L"
"366","Curruca curruca","piegża","A","L"
"367","Curruca cantillans","pokrzewka wąsata","A","Z"
"368","Curruca iberiae","pokrzewka iberyjska","A","z"
"369","Curruca melanocephala","pokrzewka aksamitna","A","z"
"370","Curruca communis","cierniówka","A","L"
"371","Regulus regulus","mysikrólik","A","L"
"372","Regulus ignicapilla","zniczek","A","L"
"373","Bombycilla garrulus","jemiołuszka","A","P"
"374","Sitta europaea","kowalik","A","L"
"375","Certhia familiaris","pełzacz leśny","A","L"
"376","Certhia brachydactyla","pełzacz ogrodowy","A","L"
"377","Tichodroma muraria","pomurnik","A","l"
"378","Troglodytes troglodytes","strzyżyk","A","L"
"379","Sturnus vulgaris","szpak","A","L"
"380","Pastor roseus","pasterz","A","Z"
"381","Cinclus cinclus","pluszcz","A","L"
"382","Muscicapa striata","muchołówka szara","A","L"
"383","Erithacus rubecula","rudzik","A","L"
"384","Larvivora sibilans","słowik syberyjski","A","z"
"385","Luscinia megarhynchos","słowik rdzawy","A","L"
"386","Luscinia luscinia","słowik szary","A","L"
"387","Luscinia svecica","podróżniczek","A","L"
"388","Tarsiger cyanurus","modraczek","A","Z"
"389","Ficedula parva","muchołówka mała","A","L"
"390","Ficedula hypoleuca","muchołówka żałobna","A","L"
"391","Ficedula albicollis","muchołówka białoszyja","A","L"
"392","Phoenicurus phoenicurus","pleszka","A","L"
"393","Phoenicurus ochruros","kopciuszek","A","L"
"394","Monticola saxatilis","nagórnik","A","(l) Z"
"395","Saxicola rubetra","pokląskwa","A","L"
"396","Saxicola maurus","kląskawka syberyjska","A","z"
"397","Saxicola rubicola","kląskawka","A","L"
"398","Oenanthe oenanthe","białorzytka","A","L"
"399","Oenanthe isabellina","białorzytka płowa","A","Z"
"400","Oenanthe deserti","białorzytka pustynna","A","z"
"401","Oenanthe hispanica","białorzytka rdzawa","A","z"
"402","Oenanthe pleschanka","białorzytka pstra","A","z"
"403","Oenanthe leucopyga","białorzytka saharyjska","A","z"
"404","Zoothera aurea","drozdoń tajgowy","A","Z"
"405","Geokichla sibirica","drozdaczek ciemny","A","Z"
"406","Turdus viscivorus","paszkot","A","L"
"407","Turdus philomelos","śpiewak","A","L"
"408","Turdus iliacus","droździk","A","L"
"409","Turdus merula","kos","A","L"
"410","Turdus obscurus","drozd oliwkowy","A","Z"
"411","Turdus pilaris","kwiczoł","A","L"
"412","Turdus torquatus","drozd obrożny","A","L"
"413","Turdus naumanni","drozd rdzawy","A","z"
"414","Turdus eunomus","drozd rdzawoskrzydły","A","z"
"415","Turdus atrogularis","drozd czarnogardły","A","Z"
"416","Turdus ruficollis","drozd rdzawogardły","A","z"
"417","Prunella collaris","płochacz halny","A","L"
"418","Prunella montanella","płochacz syberyjski","A","Z"
"419","Prunella atrogularis","płochacz czarnogardły","A","z"
"420","Prunella modularis","pokrzywnica","A","L"
"421","Passer domesticus","wróbel","A","L"
"422","Passer montanus","mazurek","A","L"
"423","Petronia petronia","wróbel skalny","B","(l z)"
"424","Montifringilla nivalis","śnieżka","A","z"
"425","Anthus trivialis","świergotek drzewny","A","L"
"426","Anthus hodgsoni","świergotek tajgowy","A","Z"
"427","Anthus cervinus","świergotek rdzawogardły","A","P"
"428","Anthus pratensis","świergotek łąkowy","A","L"
"429","Anthus spinoletta","siwerniak","A","L"
"430","Anthus petrosus","świergotek nadmorski","A","P"
"431","Anthus richardi","świergotek szponiasty","A","Z"
"432","Anthus godlewskii","świergotek stepowy","A","z"
"433","Anthus campestris","świergotek polny","A","L"
"434","Motacilla flava","pliszka żółta","A","L"
"435","Motacilla cinerea","pliszka górska","A","L"
"436","Motacilla citreola","pliszka cytrynowa","A","L P"
"437","Motacilla tschutschensis","pliszka syberyjska","A","z"
"438","Motacilla alba","pliszka siwa","A","L"
"439","Fringilla coelebs","zięba","A","L"
"440","Fringilla montifringilla","jer","A","P"
"441","Coccothraustes coccothraustes","grubodziób","A","L"
"442","Carpodacus erythrinus","dziwonia","A","L"
"443","Pinicola enucleator","łuskowiec","A","Z"
"444","Pyrrhula pyrrhula","gil","A","L"
"445","Bucanetes githagineus","gilak pustynny","A","z"
"446","Chloris chloris","dzwoniec","A","L"
"447","Linaria cannabina","makolągwa","A","L"
"448","Linaria flavirostris","rzepołuch","A","P"
"449","Acanthis cabaret","czeczotka brązowa","A","L"
"450","Acanthis flammea","czeczotka","A","P"
"451","Acanthis hornemanni","czeczotka tundrowa","A","Z"
"452","Loxia pytyopsittacus","krzyżodziób sosnowy","A","(l) Z"
"453","Loxia curvirostra","krzyżodziób świerkowy","A","L"
"454","Loxia leucoptera","krzyżodziób modrzewiowy","A","Z"
"455","Carduelis carduelis","szczygieł","A","L"
"456","Carduelis citrinella","osetnik","A","z"
"457","Serinus serinus","kulczyk","A","L"
"458","Spinus spinus","czyż","A","L"
"459","Calcarius lapponicus","poświerka","A","P"
"460","Plectrophenax nivalis","śnieguła","A","P"
"461","Emberiza melanocephala","trznadel czarnogłowy","A","z"
"462","Emberiza bruniceps","trznadel rudogłowy","A","z"
"463","Emberiza calandra","potrzeszcz","A","L"
"464","Emberiza cia","głuszek","A","z"
"465","Emberiza hortulana","ortolan","A","L"
"466","Emberiza cirlus","cierlik","A","z"
"467","Emberiza citrinella","trznadel","A","L"
"468","Emberiza leucocephalos","trznadel białogłowy","A","(l) z"
"469","Emberiza spodocephala","trznadel szarogłowy","A","z"
"470","Emberiza schoeniclus","potrzos","A","L"
"471","Emberiza rustica","trznadel czubaty","A","Z"
"472","Emberiza pusilla","trznadelek","A","Z"
"473","Emberiza aureola","trznadel złotawy","A","z"
"474","Emberiza chrysophrys","trznadel złotobrewy","A","z"
"475","Junco hyemalis","junko","A","z"
"476","Passerculus sandwichensis","bagiennik żółtobrewy","A","z"
